email,first_name,last_name,cf:Age,cf:AccountNumber,job_title,company_name,anniversary,birthday_month,birthday_day,phone,street,street2,city,state,zip,country,cf:LastUserNumber,cf:LastAmount,cf:LastTransaction
ddipper111@Gmail.com,John,Nipperdipper,18,900786,Title1,Company1,1/1/2024,1,12,123-456-1235,100 Test Lane,,City1,TX,77007,US,321,10,1/2/2024
jacksbbq111@Gmail.com,Jack,Smith,18,900786,Title2,Company2,1/2/2024,2,13,123-456-1236,101 Test Lane,,City2,TX,77007,US,321,10,1/2/2024
BobsEmail111@Gmail.com,bob,LastName1,18,900786,Title3,Company3,1/3/2024,3,14,123-456-1237,102 Test Lane,,City3,TX,77007,US,321,10,1/2/2024
CarlsEmail111@gmail.com,Carl,LastName2,18,900786,Title4,Company4,1/4/2024,4,15,123-456-1238,103 Test Lane,,City4,TX,77007,US,321,10,1/2/2024
SmithsEmai111l@gmail.com,smith,LastName3,18,900786,Title5,Company5,1/5/2024,5,16,123-456-1239,104 Test Lane,,City5,TX,77007,US,321,10,1/2/2024
JonesEmail111@gmail.com,Jones,LastName4,18,900786,Title6,Company6,1/6/2024,6,17,123-456-1240,105 Test Lane,,City6,TX,77007,US,321,10,1/2/2024
JesseEmail111@gmail.com,Jesse,LastName5,18,900786,Title7,Company7,1/7/2024,7,18,123-456-1241,106 Test Lane,,City7,TX,77007,US,321,10,1/2/2024
JessicaEmil111@gmail.com,Jessica,LastName6,18,900786,Title8,Company8,1/8/2024,8,19,123-456-1242,107 Test Lane,,City8,TX,77007,US,321,10,1/2/2024
BillsEmail111@gmail.com,Bill,LastName7,18,900786,Title9,Company9,1/9/2024,9,20,123-456-1243,108 Test Lane,,City9,TX,77007,US,321,10,1/2/2024
TedsEmail111@gmail.com,Ted,LastName8,18,900786,Title10,Company10,1/10/2024,10,21,123-456-1244,109 Test Lane,,City10,TX,77007,US,321,10,1/2/2024
